obra_id,obra_titulo,etiqueta,gold_n,regex_n,regex_precision,regex_recall,regex_f1,gemma_n,gemma_precision,gemma_recall,gemma_f1
solo_entre_las_sombras,Solo entre las sombras,<head>,14,10,1.000,0.714,0.833,14,1.000,1.000,1.000
solo_entre_las_sombras,Solo entre las sombras,<persName>,11,7,1.000,0.636,0.778,6,1.000,0.545,0.706
solo_entre_las_sombras,Solo entre las sombras,<person>,5,6,0.833,1.000,0.909,5,1.000,1.000,1.000
solo_entre_las_sombras,Solo entre las sombras,<castItem>,5,6,0.833,1.000,0.909,5,1.000,1.000,1.000
solo_entre_las_sombras,Solo entre las sombras,<role>,5,6,0.833,1.000,0.909,5,1.000,1.000,1.000
solo_entre_las_sombras,Solo entre las sombras,<roleDesc>,5,0,0.000,0.000,0.000,5,1.000,1.000,1.000
solo_entre_las_sombras,Solo entre las sombras,MACRO,—,—,0.864,0.751,0.793,—,1.000,0.950,0.969
fortalezas,Fortalezas,<sp>,578,331,1.000,0.573,0.728,578,1.000,1.000,1.000
fortalezas,Fortalezas,<speaker>,578,331,1.000,0.573,0.728,578,1.000,1.000,1.000
fortalezas,Fortalezas,<p>,578,517,1.000,0.894,0.944,578,1.000,1.000,1.000
fortalezas,Fortalezas,<stage>,311,273,1.000,0.878,0.935,311,1.000,1.000,1.000
fortalezas,Fortalezas,<castItem>,15,1,1.000,0.067,0.125,15,1.000,1.000,1.000
fortalezas,Fortalezas,<role>,15,1,1.000,0.067,0.125,15,1.000,1.000,1.000
fortalezas,Fortalezas,<roleDesc>,8,0,0.000,0.000,0.000,15,0.533,1.000,0.696
fortalezas,Fortalezas,<person>,14,1,1.000,0.071,0.133,15,0.933,1.000,0.966
fortalezas,Fortalezas,<personGrp>,1,0,0.000,0.000,0.000,0,0.000,0.000,0.000
fortalezas,Fortalezas,<persName>,16,2,1.000,0.125,0.222,16,1.000,1.000,1.000
fortalezas,Fortalezas,<div>,—,—,—,—,—,—,—,—,—
fortalezas,Fortalezas,<head>,—,—,—,—,—,—,—,—,—
fortalezas,Fortalezas,MACRO,—,—,0.600,0.294,0.362,—,0.891,0.927,0.902
la_mejor_ofrenda,La mejor ofrenda,<sp>,265,1,1.000,0.004,0.008,266,0.996,1.000,0.998
la_mejor_ofrenda,La mejor ofrenda,<speaker>,264,1,1.000,0.004,0.008,266,0.992,1.000,0.996
la_mejor_ofrenda,La mejor ofrenda,<p>,283,6,1.000,0.021,0.042,266,1.000,0.940,0.969
la_mejor_ofrenda,La mejor ofrenda,<stage>,102,872,0.117,1.000,0.209,82,1.000,0.804,0.891
la_mejor_ofrenda,La mejor ofrenda,<castItem>,29,2,1.000,0.069,0.129,20,1.000,0.690,0.816
la_mejor_ofrenda,La mejor ofrenda,<role>,29,2,1.000,0.069,0.129,20,1.000,0.690,0.816
la_mejor_ofrenda,La mejor ofrenda,<roleDesc>,4,0,0.000,0.000,0.000,20,0.200,1.000,0.333
la_mejor_ofrenda,La mejor ofrenda,<person>,22,2,1.000,0.091,0.167,20,1.000,0.909,0.952
la_mejor_ofrenda,La mejor ofrenda,<personGrp>,7,0,0.000,0.000,0.000,0,0.000,0.000,0.000
la_mejor_ofrenda,La mejor ofrenda,<persName>,31,3,1.000,0.097,0.176,21,1.000,0.677,0.808
la_mejor_ofrenda,La mejor ofrenda,<div>,20,16,1.000,0.800,0.889,17,1.000,0.850,0.919
la_mejor_ofrenda,La mejor ofrenda,<head>,17,15,1.000,0.882,0.938,17,1.000,1.000,1.000
la_mejor_ofrenda,La mejor ofrenda,MACRO,—,—,0.536,0.215,0.154,—,0.631,0.596,0.592
jose_el_carpintero,José el Carpintero,<sp>,278,268,1.000,0.964,0.982,279,0.996,1.000,0.998
jose_el_carpintero,José el Carpintero,<speaker>,278,268,1.000,0.964,0.982,279,0.996,1.000,0.998
jose_el_carpintero,José el Carpintero,<p>,928,0,0.000,0.000,0.000,0,0.000,0.000,0.000
jose_el_carpintero,José el Carpintero,<stage>,278,0,0.000,0.000,0.000,0,0.000,0.000,0.000
jose_el_carpintero,José el Carpintero,<castItem>,0,363,0.000,0.000,0.000,279,0.000,0.000,0.000
jose_el_carpintero,José el Carpintero,<role>,71,69,1.000,0.972,0.986,73,0.973,1.000,0.986
jose_el_carpintero,José el Carpintero,<roleDesc>,5,3,1.000,0.600,0.750,5,1.000,1.000,1.000
jose_el_carpintero,José el Carpintero,<person>,5,3,1.000,0.600,0.750,5,1.000,1.000,1.000
jose_el_carpintero,José el Carpintero,<personGrp>,5,0,0.000,0.000,0.000,5,1.000,1.000,1.000
jose_el_carpintero,José el Carpintero,<persName>,5,3,1.000,0.600,0.750,5,1.000,1.000,1.000
